datetime,open,high,low,close,volume
,SPY,SPY,SPY,SPY,SPY
2016-05-16 00:00:00+00:00,174.131869695222,176.15388389072794,174.07239220761835,175.67811584472656,77486800
2016-05-17 00:00:00+00:00,175.4062459236203,175.69510322923796,173.51165209062506,174.0384063720703,114924900
2016-05-18 00:00:00+00:00,173.6900474402525,175.2702841375371,173.00188214628582,174.08935546875,120062100
2016-05-19 00:00:00+00:00,173.36721827580124,173.77501757533724,172.27974483456785,173.4861602783203,115430500
2016-05-20 00:00:00+00:00,174.0978810763577,175.10040344068355,174.04690777987975,174.5821533203125,104990400
2016-05-23 00:00:00+00:00,174.59907415611264,174.87944015150006,174.15729710008026,174.34420776367188,58682600
2016-05-24 00:00:00+00:00,175.1597964722158,176.91845226513593,175.13430983437942,176.60409545898438,93537800
2016-05-25 00:00:00+00:00,177.28382816638836,178.21838174260373,176.60415401675047,177.8020782470703,76621400
2016-05-26 00:00:00+00:00,177.93803726052116,178.16743006864576,177.53872913529634,177.8530731201172,55280700
2016-05-27 00:00:00+00:00,178.014461617882,178.62616700810963,177.9634883293139,178.61767578125,64211200
2016-05-31 00:00:00+00:00,178.88952210957774,178.99997286768894,177.71708471948654,178.27781677246094,109879400
2016-06-01 00:00:00+00:00,177.66613759427415,178.82157973853978,177.47073565505667,178.64317321777344,69936200
2016-06-02 00:00:00+00:00,178.24386014708955,179.2038873614953,177.76809215345386,179.18690490722656,63044700
2016-06-03 00:00:00+00:00,178.62618571632788,179.000007156586,177.44525687389782,178.65167236328125,101757100
2016-06-06 00:00:00+00:00,179.00851950026603,179.91758656119194,178.8470954080487,179.56076049804688,64887000
2016-06-07 00:00:00+00:00,179.71369223009214,180.4018577517311,179.6882055784543,179.84112548828125,60974800
2016-06-08 00:00:00+00:00,179.97699531663255,180.5547227853407,179.849562106324,180.42727661132812,66170900
2016-06-09 00:00:00+00:00,179.696681711639,180.29989599837947,179.42481979577144,180.1809539794922,73786900
2016-06-10 00:00:00+00:00,178.8046059770867,179.14443658039636,177.9295168943366,178.4732666015625,113829200
2016-06-13 00:00:00+00:00,177.8700533632236,178.72813406776956,177.01197265867765,177.096923828125,117751200
2016-06-14 00:00:00+00:00,176.71464882670367,177.34334984042636,175.7970904406122,176.74862670898438,125059300
2016-06-15 00:00:00+00:00,176.74858776686733,177.87005209068462,176.31530180377783,176.50221252441406,109124500
2016-06-16 00:00:00+00:00,176.5022198364116,177.1988894537725,174.66710339252674,177.02896118164062,149533100
2016-06-17 00:00:00+00:00,176.9247897845939,176.95040897544104,175.71210030370545,176.36968994140625,117055700
2016-06-20 00:00:00+00:00,178.3338969472471,179.00855730706354,177.42010243907166,177.50550842285156,82789600
2016-06-21 00:00:00+00:00,177.88980833850454,178.419288947969,177.44572068124083,178.00936889648438,72461700
2016-06-22 00:00:00+00:00,178.18870321431743,178.91461497918837,177.57381662154108,177.71900939941406,95560500
2016-06-23 00:00:00+00:00,179.17931766587702,180.0845635620993,178.718159333675,180.0333251953125,102731400
2016-06-24 00:00:00+00:00,173.90157441072643,180.06751041927396,173.12442435540223,173.56851196289062,333444400
2016-06-27 00:00:00+00:00,172.15941269714784,172.16796111424463,169.64862792193355,170.45994567871094,230775800
2016-06-28 00:00:00+00:00,172.06549875931248,173.56001250367444,171.75805541065586,173.53439331054688,159382400
2016-06-29 00:00:00+00:00,174.93491196423045,176.71978470349455,174.8324352231808,176.4892120361328,137328600
2016-06-30 00:00:00+00:00,176.95890376909844,178.94872982124562,176.40379106300261,178.89749145507812,165021900
2016-07-01 00:00:00+00:00,178.89753468670352,179.76009082936653,178.73527113388084,179.27330017089844,106055300
2016-07-05 00:00:00+00:00,178.4449078178541,178.5559329897525,177.3859466008176,177.98374938964844,109803700
2016-07-06 00:00:00+00:00,177.48844889718785,179.1708453650106,176.8308592192818,179.05128479003906,96021500
2016-07-07 00:00:00+00:00,179.2305602450273,179.8966850911529,178.17159922355637,178.94020080566406,85593800
2016-07-08 00:00:00+00:00,180.2383317956827,181.85240586419408,180.00774606271716,181.604736328125,133971000
2016-07-11 00:00:00+00:00,182.06587444942394,182.81740527485772,181.86090794309075,182.24520874023438,73633900
2016-07-12 00:00:00+00:00,183.21027279368047,183.86786237841264,182.27085910120599,183.56895446777344,101275600
2016-07-13 00:00:00+00:00,183.98737673049743,183.99591211424058,183.0565116888073,183.5432891845703,87324100
2016-07-14 00:00:00+00:00,184.80725159441695,185.03783731031177,184.17529426872974,184.56813049316406,91230900
2016-07-15 00:00:00+00:00,185.1317697158225,185.3281878185356,183.87637747942776,184.32046508789062,107155400
2016-07-18 00:00:00+00:00,184.44006090861086,184.97808997886082,184.18385596891446,184.81582641601562,58725900
2016-07-19 00:00:00+00:00,184.39731347665014,184.6620537391259,184.14965701433712,184.62789916992188,54345700
2016-07-20 00:00:00+00:00,184.62792842682754,185.63565126705168,184.62792842682754,185.3965301513672,58159500
2016-07-21 00:00:00+00:00,185.28555658852846,185.50759394757313,184.2522013132845,184.6962890625,67777300
2016-07-22 00:00:00+00:00,184.81584536954847,185.57591184888312,184.55110501612444,185.52467346191406,62787500
2016-07-25 00:00:00+00:00,185.31964455929952,185.37088292903695,184.44001779581654,185.02073669433594,55873100
2016-07-26 00:00:00+00:00,184.91825742949973,185.46482175110378,184.26066795423316,185.10614013671875,70080500
2016-07-27 00:00:00+00:00,185.4819278375684,185.55025001486825,184.14112954141405,184.9097442626953,84083900
2016-07-28 00:00:00+00:00,184.713312177542,185.4136047179644,184.25215377201522,185.1232452392578,65035700
2016-07-29 00:00:00+00:00,184.85854489857735,185.7808619089567,184.57672074441257,185.42218017578125,79519400
2016-08-01 00:00:00+00:00,185.48196509504243,185.87480140452143,184.8158400214689,185.26846313476562,73311400
2016-08-02 00:00:00+00:00,185.02076050196183,185.1744886620766,183.24443597726173,184.08135986328125,92295500
2016-08-03 00:00:00+00:00,184.02161237977572,184.67920208910886,183.722717443625,184.61941528320312,53993600
2016-08-04 00:00:00+00:00,184.73042042574198,185.13180512400393,182.97116648755107,184.81582641601562,46585500
